Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Korea Power Exchange SMP and REC Data,전력거래소 SMP 및 REC 데이터,SMP/REC,administrative,other,Korea Power Exchange (전력거래소),public_portal,https://www.kpx.or.kr,national,hourly,2016-2021,hourly,Not in source,automatic sensor,Not in source,Digital,"계통한계가격 (SMP), 신재생에너지 공급인증서 (REC) 가격",PPA 참여 시의 발전 전력 판매 수익 계산 및 경제성 분석에 활용,open,2021.07.12 SMP 및 2021.07.13 REC 평균 가격 적용,9
Agricultural Infrastructure Statistics Yearbook,농업생산기반정비통계연보,Not in source,administrative,other,"Ministry of Agriculture, Food and Rural Affairs (농림축산식품부), Korea Rural Community Corporation (한국농어촌공사)",public_portal,Not in source,national,administrative unit,1975–2018,annual,전국 농경지 및 수리시설물 통계,other,statistical report,PDF/Table,"경지면적(논, 밭), 수리시설물 현황(저수지, 양수장 등), 수리답 면적",농업용수 기초 현황 조사 및 경지면적 변화 추이 분석,open,"2018년 기준 전국 수원공 72,610개소 정보 포함",12
Soyanggang Dam Resident Perception Survey,소양강댐 주변지역 주민인식도 조사,Not in source,survey,social_value,"K-water, Gangwon Research Institute",field_collection,Not in source,"Chuncheon, Yanggu, Inje (Soyanggang Dam area)",Individual responses (120 people),2019.08–2020.04,One-time,120 samples,manual sampling (interview),Questionnaire,Paper form / Digital summary,"Awareness of support systems, satisfaction levels, preferred support projects, improvement suggestions",Analyzed to identify problems with current support projects and propose improvements for social value creation.,internal_only,Survey targeted residents in dam-affected areas.,52
Soyanggang Dam Hydrological Data,소양강댐 수문 데이터,Not in source,hydrological,streamflow,K-water,internal_DB,https://www.kwater.or.kr,Soyanggang Dam Basin,Dam-site measurement,2010–2019 (Recent 10 years),Monthly average,"6 warning stations, 10 water level stations, 13 rainfall stations",automatic sensor,"Water level gauges, rain gauges, discharge sensors",Not in source,"Inflow rate, discharge rate, water level (EL.m), storage volume",Used to analyze the dam's function and propose expansion strategies for water supply and heatwave mitigation.,open,Primary data for dam operation and basin management.,52
Medium-scale Flume Experiment Data,중규모 개수로 실험 데이터,Not in source,field_measurement,hydrological,Myongji University,field_collection,Not in source,Indoor flume (L 2m) and Outdoor flume (L 10m),Point measurement,Study period,event-based,"Series M1, M2, M3, M4, L5",automatic sensor and visual monitoring,"Rhodamine sensors, Monitoring cameras",TimeSeries data,"Rhodamine concentration, water level, seepage time",보 구조물의 하상 덮힘 정도 및 센서 위치에 따른 파이핑 현상 탐지 신뢰도 확보,internal_only,실내외 중규모 수로를 활용한 실증 전 단계 실험,31
Changnyeong-Haman Weir Bed Change Data,창녕함안보 하상변동 데이터,Not in source,geospatial,sediment,K-water (inferred),internal_DB,Not in source,"Nakdong River, Changnyeong-Haman Weir",reach-scale,2013-2020,annual/periodic,"Scour depth up to 22m, length 500m",field_collection,Bathymetry tools,GIS shapefile / Image,"Riverbed elevation, scour hole depth/length",현장 실증실험의 원형 시설물로서 규모 축척 산정을 위한 차원 해석 기초 자료로 활용,internal_only,4대강 사업 이후 보 안정성 모니터링 결과 자료,31
Field Strain and Vibration Measurement Data,현장 변형률 및 진동 계측 데이터,Not in source,field_measurement,other,K-water,field_collection,이상징후 감지시스템,"남강댐, 강천보 현장",point measurement,2021–2022,real-time / event-based,Not in source,automatic sensor,"전기식/진동현식 변형률계(Strain gauge), 가속도계(Accelerometer), 데이터 수집기(Smart Logger), ND102 센서",Digital Data (FFT 분석 포함),"변형률(Strain), 응력(Stress), 진동 가속도, 진동수(Frequency), 온도",수문 가동 및 방류 시 발생하는 실제 응력과 진동을 계측하여 구조 해석 결과와 비교 검증,internal_only,수문 개도량(0.6m 등)에 따른 동적 상태 계측 포함,53
Nakdong River Estuary Sediment Geochemical Data,낙동강 하구역 퇴적물 지화학 데이터,Not in source,field_measurement,sediment,"한양대학교, K-water",field_collection,Not in source,낙동강 하굿둑 내측 및 외측 (ND1~ND4),정점별 포인트 측정,"2023.03, 2023.06",총 2회 조사,"4개 정점, 아크릴 코어 채집",다이버를 활용한 아크릴 코어 수직 채취,"아크릴 코어 (내경 10cm, 길이 25cm)",Table/CSV,"TOC, TN, Fe2+, SO4 2-, HS-, Fe(II), Fe(III), AVS, CRS, S0",해수 유입 전후 퇴적물 내 지화학적 특성 변화 및 미생물 활동 해석,internal_only,"ND1, ND3는 해수 정체가 발생하는 깊은 골 형태의 정점",33
Nakdong Estuary Biological Stable Isotope Data,낙동강 하구 생물 안정동위원소 데이터,Not in source,lab_analysis,ecology,한양대학교,field_collection,Not in source,"낙동강 하구 (담수, 기수, 해수역)",St.1 ~ St.4 구역별 채집,"2023.03, 2023.06","계절별 (봄, 초여름)","어류 22 ~~24종, 저서생물 20~~ 26종","정치망, 삼중자망, 통발, Dredge, Hand net","EA-IRMS, GC-IRMS",Table/JSON,"탄소(δ13C) 및 질소(δ15N) 안정동위원소비, 아미노산 질소 안정동위원소비","생태계 먹이망 구조 해석, 영양단계 평가, 기수 생태환경 연속성 평가",internal_only,아미노산 질소 안정동위원소비를 통해 정밀 영양단계 해석 시도,33
Water Environment Information System Sediment Measurement Network,물환경정보시스템 퇴적물측정망,Not in source,field_measurement,sediment,국립환경과학원/환경부,public_portal,물환경정보시스템,"남강댐, 안동댐, 충주댐, 영주댐 등 전국 주요 지점",지점 측정,2014–2023,연간 단위 측정값,8대 중금속 측정량,현장 시료 채취 및 분석,Not in source,공개 데이터,"Cu, Pb, Ni, As, Hg, Zn, Cd, Cr (중금속 농도)","화학적 노출 실험을 위한 주요 중금속 물질(Pb, As, Cd, Cu) 및 노출 농도 선정 근거로 활용",open,국가 물환경 측정 데이터베이스,14
Chemicals Information System,화학물질정보시스템/화학물질 종합정보시스템,NCIS,DB_system,toxicology,환경부/화학물질안전원,public_portal,https://ncis.nier.go.kr,national,Not in source,2014–2023 (사례 분석 기간),이벤트 기반,화학물질 누출사고 총 682건 분석,사고 통계 DB,Not in source,디지털 DB,"화학물질 누출 사고 이력, 물질명, 어류폐사 연관 사례",국내 화학물질 누출 사고와 어류폐사 간의 연관성 분석 및 실험 대상 물질 선정에 활용,open,화학물질 유출 사고 현황 파악용,14
Fish Kill Exposure Experiment Primary Data,어류폐사 주요 원인별 노출 실험 원데이터,Not in source,lab_analysis,biological,K-water연구원,field_collection,Not in source,연구소 실험실,개체 단위,2023–2024,"분 단위(초기), 일 단위","붕어, 잉어, 피라미 대상 19개 물리/화학 조건 실험",실험실 내 노출 실험 및 증상 관찰,"다항목 수질 측정기, 해부 도구, 광학 현미경","사진, 동영상, 엑셀 기록","수온, DO, pH, 탁도, 사망 시간, 행동 변화, 해부학적 이상 증상",물리적/화학적 요인에 따른 어류 반응 특성을 리스트화하고 biomarker 발굴의 기초 데이터로 활용,internal_only,연구 수행 과정에서 직접 생산된 1차 데이터,14
Automatic Weather Station (AWS) Data,기상관측소 데이터,AWS,meteorological,"rainfall, temperature",기상청,public_portal,기상청 (link),보은관측소 (충청북도 보은군 보은읍 성주길 57),point measurement,2000–2019,"monthly, annual",Not in source,automatic sensor,"온도계, 풍속계, 우량계",Not in source,"평균기온, 최고기온, 최저기온, 강수량, 풍속, 상대습도, 일조시간, 강수일수","중초천 유역의 기상 및 강우 현황 분석, HSPF 유역모델 구축을 위한 기상 입력 자료로 활용",open,"보은 관측소는 1972년부터 관측 실시, 현재 자동관측소로 운영됨",34
Hydrological Simulation Program - Fortran (HSPF) Output,유역유출 모델 모의 결과,HSPF,model_output,"hydrological, water quality",K-water (한국수자원공사),model_generated,Not in source,중초천 유역 (25개 소유역),sub-watershed scale,2019–2035 (future prediction),daily,25 sub-watersheds,model simulation,HSPF Model,Not in source,"유량, BOD, T-N, T-P 유달부하량 및 유달율","유역 오염부하량 특성 분석, 장래 수질 예측 및 물환경 개선 모델 타당성 검토",internal_only,연구에서 직접 구축하여 도출한 모델링 결과,34
K-water Multi-purpose Dam Specifications and Status,K-water 다목적댐 제원 및 현황,Not in source,administrative,hydrological,K-water,internal_DB,물정보포털 (https://www.water.or.kr/),National (South Korea),Point measurement (Dam site),As of 2023,one-time,21 dams,automatic sensor,Not in source,Table,"Catchment area, Reservoir area, Total storage capacity, Effective storage capacity, Flood control capacity, Dam height, Dam length, Design flood level",Used to select representative multi-purpose dams for flood defense criteria analysis.,open,Fundamental dam specification data managed by K-water.,16
National Algae Monitoring Results,조류경보 발령 현황 및 수질측정 데이터,Not in source,water_quality,ecology,Ministry of Environment / NIER,public_portal,https://water.nier.go.kr/,"Daecheong Reservoir, Geum River",Point sampling,2017–2018,Weekly/Monthly,"Multiple monitoring stations (Chudong, Munui, etc.)",manual sampling,Not in source,Digital data,"Chlorophyll-a, Harmful cyanobacteria cell count, T-N, T-P, TOC, DO, Water temperature",Used for calibration and verification of the AEM3D water quality model for Daecheong Dam.,open,Accessed via the Water Environment Information System.,35
Water Management Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,"streamflow, rainfall, GIS",Ministry of Environment,public_portal,http://www.wamis.go.kr,National (South Korea),Standard watershed scale,Not in source,Daily/Monthly,National network,automatic sensor / model simulation,Not in source,"GIS shapefile, Numeric data","강수량, 하천유량, 유역면적, 수자원 현황 통계","낙동강 유역 및 부산 지역의 수자원 현황 분석, 하천 네트워크 구축을 위한 기초 데이터로 활용",open,수자원 분야의 국가 표준 정보를 제공하는 핵심 시스템,"54, 55"
Rural Water Resources Information System,농촌용수종합정보시스템,RAIRIS (농어촌알리미),DB_system,"agricultural water, reservoir",Korea Rural Community Corporation,public_portal,https://www.alimi.or.kr,National agricultural districts,Reservoir unit,Not in source,Daily,296 reservoirs (Yeong-Seom basin),automatic sensor,Not in source,Numeric data,"저수율, 유효저수량, 저수위, 농업용수 공급량",농업용수 공급량 산정 및 가뭄 모니터링 자료로 활용,open,한국농어촌공사 관리 시설물의 실시간 데이터,55
KMA Meteorological Data,기상청 기상자료,ASOS,meteorological,rainfall,Korea Meteorological Administration (KMA),public_portal,KMA Weather Data Service (link),"Weather stations near dams (Daejeon, Geumsan, etc.)",Point measurement (1km grid mapping implied),2005–2023,Daily,Stations near target sites,Automatic Surface Observing System (ASOS),Not in source,Not in source,"Rainfall, Temperature (Avg/Max), Wind speed, Humidity, Sunshine duration, Solar radiation, Evaporation",Input variables to model climate impacts on algal growth.,open,Used to capture energy inputs and atmospheric conditions.,37
